alpha-1-B glycoprotein	A1BG
SPT4 homolog, DSIF elongation factor subunit	SUPT4H1
SPT4 homolog, DSIF elongation factor subunit pseudogene	SUPT4H1P1
SPT4 homolog, DSIF elongation factor subunit pseudogene 2	SUPT4H1P2
SPT5 homolog, DSIF elongation factor subunit	SUPT5H
SPT6 homolog, histone chaperone and transcription elongation factor	SUPT6H
SPT7 like, STAGA complex gamma subunit	SUPT7L
SPT16 homolog, facilitates chromatin remodeling subunit	SUPT16H
SPT16 homolog, facilitates chromatin remodeling subunit pseudogene 1	SUPT16HP1
SPT20 homolog, SAGA complex component	SUPT20H
SUPT20H like 1	SUPT20HL1
SUPT20H like 2	SUPT20HL2
Suv3 like RNA helicase	SUPV3L1
SURF1 cytochrome c oxidase assembly factor	SURF1
surfeit 2	SURF2
surfeit 4	SURF4
surfeit 6	SURF6
surfeit 6 pseudogene 1	SURF6P1
sushi domain containing 1	SUSD1
sushi domain containing 2	SUSD2
sushi domain containing 2 pseudogene 1	SUSD2P1
sushi domain containing 2 pseudogene 2	SUSD2P2
sushi domain containing 3	SUSD3
sushi domain containing 4	SUSD4
sushi domain containing 5	SUSD5
sushi domain containing 6	SUSD6
suppressor of variegation 3-9 homolog 1	SUV39H1
suppressor of variegation 3-9 homolog 2	SUV39H2
SUZ12 polycomb repressive complex 2 subunit	SUZ12
SUZ12 pseudogene 1	SUZ12P1
SUZ12 pseudogene 2	SUZ12P2
synaptic vesicle glycoprotein 2A	SV2A
synaptic vesicle glycoprotein 2B	SV2B
synaptic vesicle glycoprotein 2C	SV2C
small vasohibin binding protein	SVBP
sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	SVEP1
supervillin	SVIL
SVIL antisense RNA 1	SVIL-AS1
supervillin family member 2, pseudogene	SVIL2P
small VCP interacting protein	SVIP
SV2 related protein	SVOP
SVOP like	SVOPL
switching B cell complex subunit SWAP70	SWAP70
SWI5 homologous recombination repair protein	SWI5
SWIM-type zinc finger 7 associated protein 1	SWSAP1
SWT1 RNA endoribonuclease homolog	SWT1
synapse associated protein 1	SYAP1
syntabulin	SYBU
synaptonemal complex central element protein 1	SYCE1
synaptonemal complex central element protein 1 like	SYCE1L
synaptonemal complex central element protein 2	SYCE2
synaptonemal complex central element protein 3	SYCE3
syncollin	SYCN
synaptonemal complex protein 1	SYCP1
synaptonemal complex protein 2	SYCP2
synaptonemal complex protein 2 like	SYCP2L
synaptonemal complex protein 3	SYCP3
synapse defective Rho GTPase homolog 1	SYDE1
synapse defective Rho GTPase homolog 2	SYDE2
SYF2 pre-mRNA splicing factor	SYF2
SYF2 pre-mRNA splicing factor pseudogene 1	SYF2P1
SYF2 pre-mRNA splicing factor pseudogene 2	SYF2P2
spleen associated tyrosine kinase	SYK
symphalangism 2 (distal)	SYM2
symplekin	SYMPK
synapsin I	SYN1
synapsin II	SYN2
synapsin III	SYN3
syncoilin, intermediate filament protein	SYNC
synaptotagmin binding cytoplasmic RNA interacting protein	SYNCRIP
synapse differentiation inducing 1	SYNDIG1
synapse differentiation inducing 1 like	SYNDIG1L
spectrin repeat containing nuclear envelope protein 1	SYNE1
SYNE1 antisense RNA 1	SYNE1-AS1
spectrin repeat containing nuclear envelope protein 2	SYNE2
spectrin repeat containing nuclear envelope family member 3	SYNE3
spectrin repeat containing nuclear envelope family member 4	SYNE4
synaptic Ras GTPase activating protein 1	SYNGAP1
SYNGAP1 antisense RNA 1	SYNGAP1-AS1
synaptogyrin 1	SYNGR1
synaptogyrin 2	SYNGR2
synaptogyrin 2 pseudogene 1	SYNGR2P1
synaptogyrin 2 pseudogene 2	SYNGR2P2
synaptogyrin 3	SYNGR3
synaptogyrin 4	SYNGR4
synaptojanin 1	SYNJ1
synaptojanin 2	SYNJ2
SYNJ2 intronic transcript 1	SYNJ2-IT1
synaptojanin 2 binding protein	SYNJ2BP
SYNJ2BP-COX16 readthrough	SYNJ2BP-COX16
synemin	SYNM
synaptopodin	SYNPO
synaptopodin 2	SYNPO2
synaptopodin 2 like	SYNPO2L
synaptoporin	SYNPR
SYNPR antisense RNA 1	SYNPR-AS1
synergin gamma	SYNRG
synaptophysin	SYP
SYP antisense RNA 1	SYP-AS1
synaptophysin like 1	SYPL1
synaptophysin like 1 pseudogene 1	SYPL1P1
synaptophysin like 1 pseudogene 2	SYPL1P2
synaptophysin like 2	SYPL2
SYS1 golgi trafficking protein	SYS1
SYS1-DBNDD2 readthrough (NMD candidate)	SYS1-DBNDD2
synaptotagmin 1	SYT1
synaptotagmin 2	SYT2
synaptotagmin 3	SYT3
synaptotagmin 4	SYT4
synaptotagmin 5	SYT5
synaptotagmin 6	SYT6
synaptotagmin 7	SYT7
synaptotagmin 8	SYT8
synaptotagmin 9	SYT9
synaptotagmin 10	SYT10
synaptotagmin 11	SYT11
synaptotagmin 12	SYT12
synaptotagmin 13	SYT13
synaptotagmin 14	SYT14
synaptotagmin 14 pseudogene 1	SYT14P1
synaptotagmin 15	SYT15
synaptotagmin 16	SYT16
synaptotagmin 17	SYT17
synaptotagmin like 1	SYTL1
synaptotagmin like 2	SYTL2
synaptotagmin like 3	SYTL3
synaptotagmin like 4	SYTL4
synaptotagmin like 5	SYTL5
synoviolin 1	SYVN1
SUZ RNA binding domain containing 1	SZRD1
SZT2 subunit of KICSTOR complex	SZT2
SZT2 antisense RNA 1	SZT2-AS1
trace amine associated receptor 1	TAAR1
trace amine associated receptor 2 (gene/pseudogene)	TAAR2
trace amine associated receptor 3, pseudogene	TAAR3P
trace amine associated receptor 4, pseudogene	TAAR4P
trace amine associated receptor 5	TAAR5
trace amine associated receptor 6	TAAR6
trace amine associated receptor 7, pseudogene	TAAR7P
trace amine associated receptor 8	TAAR8
trace amine associated receptor 9 (gene/pseudogene)	TAAR9
TGF-beta activated kinase 1 (MAP3K7) binding protein 1	TAB1
TGF-beta activated kinase 1 (MAP3K7) binding protein 2	TAB2
TAB2 antisense RNA 1	TAB2-AS1
TGF-beta activated kinase 1 (MAP3K7) binding protein 3	TAB3
TAB3 antisense RNA 1	TAB3-AS1
TAB3 antisense RNA 2	TAB3-AS2
TGF-beta activated kinase 1/MAP3K7 binding protein 3 pseudogene 1	TAB3P1
tachykinin precursor 1	TAC1
tachykinin 3	TAC3
tachykinin 4	TAC4
transforming acidic coiled-coil containing protein 1	TACC1
transforming acidic coiled-coil containing protein 1 pseudogene 1	TACC1P1
transforming acidic coiled-coil containing protein 2	TACC2
transforming acidic coiled-coil containing protein 3	TACC3
translational activator of cytochrome c oxidase I	TACO1
tachykinin receptor 1	TACR1
tachykinin receptor 2	TACR2
tachykinin receptor 3	TACR3
tumor associated calcium signal transducer 2	TACSTD2
transcriptional adaptor 1	TADA1
transcriptional adaptor 2A	TADA2A
transcriptional adaptor 2B	TADA2B
transcriptional adaptor 3	TADA3
TATA-box binding protein associated factor 1	TAF1
TATA-box binding protein associated factor, RNA polymerase I subunit A	TAF1A
TAF1A antisense RNA 1	TAF1A-AS1
TATA-box binding protein associated factor, RNA polymerase I subunit B	TAF1B
TATA-box binding protein associated factor, RNA polymerase I subunit C	TAF1C
TATA-box binding protein associated factor, RNA polymerase I subunit D	TAF1D
TATA-box binding protein associated factor 1 like	TAF1L
TATA-box binding protein associated factor 2	TAF2
TATA-box binding protein associated factor 3	TAF3
TATA-box binding protein associated factor 4	TAF4
TATA-box binding protein associated factor 4b	TAF4B
TATA-box binding protein associated factor 5	TAF5
TATA-box binding protein associated factor 5 like	TAF5L
TATA-box binding protein associated factor 5 like pseudogene 1	TAF5LP1
TATA-box binding protein associated factor 6	TAF6
TATA-box binding protein associated factor 6 like	TAF6L
TATA-box binding protein associated factor 7	TAF7
TATA-box binding protein associated factor 7 like	TAF7L
TATA-box binding protein associated factor 8	TAF8
TATA-box binding protein associated factor 9	TAF9
TATA-box binding protein associated factor 9b	TAF9B
TATA-box binding protein associated factor 9b pseudogene 1	TAF9BP1
TATA-box binding protein associated factor 9b pseudogene 2	TAF9BP2
TATA-box binding protein associated factor 9 pseudogene 1	TAF9P1
TATA-box binding protein associated factor 9 pseudogene 2	TAF9P2
TATA-box binding protein associated factor 9 pseudogene 3	TAF9P3
TATA-box binding protein associated factor 10	TAF10
TATA-box binding protein associated factor 11	TAF11
TATA-box binding protein associated factor 11 like 1	TAF11L1
TATA-box binding protein associated factor 11 like 2	TAF11L2
TATA-box binding protein associated factor 11 like 3	TAF11L3
TATA-box binding protein associated factor 11 like 4	TAF11L4
TATA-box binding protein associated factor 11 like 5	TAF11L5
TATA-box binding protein associated factor 11 like 6	TAF11L6
TATA-box binding protein associated factor 11 like 7	TAF11L7
TATA-box binding protein associated factor 11 like 8	TAF11L8
TATA-box binding protein associated factor 11 like 9	TAF11L9
TATA-box binding protein associated factor 11 like 10	TAF11L10
TATA-box binding protein associated factor 11 like 11	TAF11L11
TATA-box binding protein associated factor 11 like 12	TAF11L12
TATA-box binding protein associated factor 11 like 13	TAF11L13
TATA-box binding protein associated factor 11 like 14	TAF11L14
TATA-box binding protein associated factor 12	TAF12
TATA-box binding protein associated factor 13	TAF13
TATA-box binding protein associated factor 13 pseudogene 1	TAF13P1
TATA-box binding protein associated factor 13 pseudogene 2	TAF13P2
TATA-box binding protein associated factor 15	TAF15
TAFA chemokine like family member 1	TAFA1
TAFA chemokine like family member 2	TAFA2
TAFA chemokine like family member 3	TAFA3
TAFA chemokine like family member 4	TAFA4
TAFA chemokine like family member 5	TAFA5
T cell activation RhoGTPase activating protein	TAGAP
transgelin	TAGLN
transgelin 2	TAGLN2
transgelin 2 pseudogene 1	TAGLN2P1
transgelin 2 pseudogene 2	TAGLN2P2
transgelin 3	TAGLN3
TAL bHLH transcription factor 1, erythroid differentiation factor	TAL1
TAL bHLH transcription factor 2	TAL2
transaldolase 1	TALDO1
transaldolase 1 pseudogene 1	TALDO1P1
TAM41 mitochondrial translocator assembly and maintenance homolog	TAMM41
tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1	TANC1
tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2	TANC2
transport and golgi organization 2 homolog	TANGO2
transport and golgi organization 6 homolog	TANGO6
TRAF family member associated NFKB activator	TANK
TAO kinase 1	TAOK1
TAO kinase 2	TAOK2
TAO kinase 3	TAOK3
transporter 1, ATP binding cassette subfamily B member	TAP1
transporter 2, ATP binding cassette subfamily B member	TAP2
TAP binding protein	TAPBP
TAP binding protein like	TAPBPL
transmembrane anterior posterior transformation 1	TAPT1
TAPT1 antisense RNA 1 (head to head)	TAPT1-AS1
total anomalous pulmonary venous return 1	TAPVR1
TAR (HIV-1) RNA binding protein 1	TARBP1
TARBP2 subunit of RISC loading complex	TARBP2
TARBP2 pseudogene 1	TARBP2P1
TAR DNA binding protein	TARDBP
TAR DNA binding protein pseudogene 1	TARDBPP1
TAR DNA binding protein pseudogene 2	TARDBPP2
TCF21 antisense RNA inducing promoter demethylation	TARID
T cell-interacting, activating receptor on myeloid cells 1	TARM1
threonyl-tRNA synthetase	TARS
threonyl-tRNA synthetase 2, mitochondrial	TARS2
TARS2 pseudogene 1	TARS2P1
threonyl-tRNA synthetase like 2	TARSL2
taste 1 receptor member 1	TAS1R1
taste 1 receptor member 2	TAS1R2
taste 1 receptor member 3	TAS1R3
taste 2 receptor member 1	TAS2R1
taste 2 receptor member 2, pseudogene	TAS2R2P
taste 2 receptor member 3	TAS2R3
taste 2 receptor member 4	TAS2R4
taste 2 receptor member 5	TAS2R5
taste 2 receptor member 6 pseudogene	TAS2R6P
taste 2 receptor member 7	TAS2R7
taste 2 receptor member 8	TAS2R8
taste 2 receptor member 9	TAS2R9
taste 2 receptor member 10	TAS2R10
taste 2 receptor member 12 pseudogene	TAS2R12P
taste 2 receptor member 13	TAS2R13
taste 2 receptor member 14	TAS2R14
taste 2 receptor member 15 pseudogene	TAS2R15P
taste 2 receptor member 16	TAS2R16
taste 2 receptor member 18 pseudogene	TAS2R18P
taste 2 receptor member 19	TAS2R19
taste 2 receptor member 20	TAS2R20
taste 2 receptor member 22	TAS2R22
taste 2 receptor member 30	TAS2R30
taste 2 receptor member 31	TAS2R31
taste 2 receptor member 33	TAS2R33
taste 2 receptor member 36	TAS2R36
taste 2 receptor member 37	TAS2R37
taste 2 receptor member 38	TAS2R38
taste 2 receptor member 39	TAS2R39
taste 2 receptor member 40	TAS2R40
taste 2 receptor member 41	TAS2R41
taste 2 receptor member 42	TAS2R42
taste 2 receptor member 43	TAS2R43
taste 2 receptor member 45	TAS2R45
taste 2 receptor member 46	TAS2R46
taste 2 receptor member 50	TAS2R50
taste 2 receptor member 60	TAS2R60
taste 2 receptor member 62 pseudogene	TAS2R62P
taste 2 receptor member 63 pseudogene	TAS2R63P
taste 2 receptor member 64 pseudogene	TAS2R64P
taste 2 receptor member 67 pseudogene	TAS2R67P
taste 2 receptor member 68 pseudogene	TAS2R68P
transcription activation suppressor	TASOR
transcription activation suppressor family member 2	TASOR2
taspase 1	TASP1
tyrosine aminotransferase	TAT
TAT antisense RNA 1	TAT-AS1
TatD DNase domain containing 1	TATDN1
TatD DNase domain containing 1 pseudogene 1	TATDN1P1
TatD DNase domain containing 2	TATDN2
TatD DNase domain containing 2 pseudogene 1	TATDN2P1
TatD DNase domain containing 2 pseudogene 2	TATDN2P2
TatD DNase domain containing 2 pseudogene 3	TATDN2P3
TatD DNase domain containing 3	TATDN3
Tax1 binding protein 1	TAX1BP1
Tax1 binding protein 3	TAX1BP3
tafazzin	TAZ
thymus, brain and testes associated	TBATA
TBC1 domain family member 1	TBC1D1
TBC1 domain family member 2	TBC1D2
TBC1 domain family member 2B	TBC1D2B
TBC1 domain family member 3	TBC1D3
TBC1 domain family member 3B	TBC1D3B
TBC1 domain family member 3C	TBC1D3C
TBC1 domain family member 3D	TBC1D3D
TBC1 domain family member 3E	TBC1D3E
TBC1 domain family member 3F	TBC1D3F
TBC1 domain family member 3G	TBC1D3G
TBC1 domain family member 3H	TBC1D3H
TBC1 domain family member 3I	TBC1D3I
TBC1 domain family member 3J	TBC1D3J
TBC1 domain family member 3K	TBC1D3K
TBC1 domain family member 3L	TBC1D3L
TBC1 domain family member 3 pseudogene 1	TBC1D3P1
TBC1D3P1-DHX40P1 readthrough, transcribed pseudogene	TBC1D3P1-DHX40P1
TBC1 domain family member 3 pseudogene 2	TBC1D3P2
TBC1 domain family member 3 pseudogene 3	TBC1D3P3
TBC1 domain family member 3 pseudogene 4	TBC1D3P4
TBC1 domain family member 3 pseudogene 5	TBC1D3P5
TBC1 domain family member 3 pseudogene 6	TBC1D3P6
TBC1 domain family member 3 pseudogene 7	TBC1D3P7
TBC1 domain family member 4	TBC1D4
TBC1 domain family member 5	TBC1D5
TBC1 domain family member 7	TBC1D7
TBC1 domain family member 8	TBC1D8
TBC1 domain family member 8 antisense RNA 1	TBC1D8-AS1
TBC1 domain family member 8B	TBC1D8B
TBC1 domain family member 9	TBC1D9
TBC1 domain family member 9B	TBC1D9B
TBC1 domain family member 10A	TBC1D10A
TBC1 domain family member 10B	TBC1D10B
TBC1 domain family member 10C	TBC1D10C
TBC1 domain family member 12	TBC1D12
TBC1 domain family member 13	TBC1D13
TBC1 domain family member 14	TBC1D14
TBC1 domain family member 15	TBC1D15
TBC1 domain family member 16	TBC1D16
TBC1 domain family member 17	TBC1D17
TBC1 domain family member 19	TBC1D19
TBC1 domain family member 20	TBC1D20
TBC1 domain family member 21	TBC1D21
TBC1 domain family member 22A	TBC1D22A
TBC1D22A antisense RNA 1	TBC1D22A-AS1
TBC1 domain family member 22B	TBC1D22B
TBC1 domain family member 23	TBC1D23
TBC1 domain family member 24	TBC1D24
TBC1 domain family member 25	TBC1D25
TBC1 domain family member 26	TBC1D26
TBC1 domain family member 27, pseudogene	TBC1D27P
TBC1 domain family member 28	TBC1D28
TBC1 domain family member 29, pseudogene	TBC1D29P
TBC1 domain family member 30	TBC1D30
TBC1 domain family member 31	TBC1D31
TBC1 domain family member 32	TBC1D32
tubulin folding cofactor A	TBCA
tubulin folding cofactor A pseudogene 1	TBCAP1
tubulin folding cofactor A pseudogene 2	TBCAP2
tubulin folding cofactor A pseudogene 3	TBCAP3
tubulin folding cofactor B	TBCB
tubulin folding cofactor C	TBCC
TBCC domain containing 1	TBCCD1
tubulin folding cofactor D	TBCD
tubulin folding cofactor E	TBCE
tubulin folding cofactor E like	TBCEL
TBC1 domain containing kinase	TBCK
TGF-beta induced lncRNA	TBILA
TANK binding kinase 1	TBK1
TBK1 binding protein 1	TBKBP1
transducin beta like 1 X-linked	TBL1X
transducin beta like 1 X-linked receptor 1	TBL1XR1
TBL1XR1 antisense RNA 1	TBL1XR1-AS1
transducin beta like 1 Y-linked	TBL1Y
transducin beta like 1 Y-linked pseudogene 1	TBL1YP1
transducin beta like 2	TBL2
transducin beta like 3	TBL3
TATA-box binding protein	TBP
TATA-box binding protein like 1	TBPL1
TATA-box binding protein like 2	TBPL2
T-box, brain 1	TBR1
transforming growth factor beta regulator 1	TBRG1
transforming growth factor beta regulator 4	TBRG4
T-box 1	TBX1
T-box 2	TBX2
TBX2 antisense RNA 1	TBX2-AS1
T-box 3	TBX3
T-box 4	TBX4
T-box 5	TBX5
TBX5 antisense RNA 1	TBX5-AS1
T-box 6	TBX6
T-box 10	TBX10
T-box 15	TBX15
T-box 18	TBX18
TBX18 antisense RNA 1	TBX18-AS1
T-box 19	TBX19
T-box 20	TBX20
T-box 21	TBX21
T-box 22	TBX22
T-box 23, pseudogene	TBX23P
thromboxane A1 receptor	TBXA1R
thromboxane A2 receptor	TBXA2R
thromboxane A synthase 1	TBXAS1
T-box transcription factor T	TBXT
tandem C2 domains, nuclear	TC2N
TRPM8 channel associated factor 1	TCAF1
TRPM8 channel associated factor 1 pseudogene 1	TCAF1P1
TRPM8 channel associated factor 2	TCAF2
TRPM8 channel associated factor 2C	TCAF2C
TRPM8 channel associated factor 2 pseudogene 1	TCAF2P1
T cell activation inhibitor, mitochondrial	TCAIM
testicular cell adhesion molecule 1, pseudogene	TCAM1P
titin-cap	TCAP
transcription elongation factor A1	TCEA1
transcription elongation factor A1 pseudogene 1	TCEA1P1
transcription elongation factor A1 pseudogene 2	TCEA1P2
transcription elongation factor A1 pseudogene 3	TCEA1P3
transcription elongation factor A1 pseudogene 4	TCEA1P4
transcription elongation factor A2	TCEA2
transcription elongation factor A3	TCEA3
transcription elongation factor A like 1	TCEAL1
transcription elongation factor A like 2	TCEAL2
transcription elongation factor A like 3	TCEAL3
TCEAL3 antisense RNA 1	TCEAL3-AS1
transcription elongation factor A like 4	TCEAL4
transcription elongation factor A like 4 pseudogene 1	TCEAL4P1
transcription elongation factor A like 5	TCEAL5
transcription elongation factor A like 6	TCEAL6
transcription elongation factor A like 7	TCEAL7
transcription elongation factor A like 8	TCEAL8
transcription elongation factor A like 8 pseudogene 1	TCEAL8P1
transcription elongation factor A like 9	TCEAL9
transcription elongation factor A N-terminal and central domain containing	TCEANC
transcription elongation factor A N-terminal and central domain containing 2	TCEANC2
transcription elongation regulator 1	TCERG1
transcription elongation regulator 1 like	TCERG1L
TCERG1L antisense RNA 1	TCERG1L-AS1
transcription factor 3	TCF3
transcription factor 3 pseudogene 1	TCF3P1
transcription factor 4	TCF4
TCF4 antisense RNA 1	TCF4-AS1
TCF4 antisense RNA 2	TCF4-AS2
transcription factor 7	TCF7
transcription factor 7 like 1	TCF7L1
TCF7L1 intronic transcript 1	TCF7L1-IT1
transcription factor 7 like 2	TCF7L2
transcription factor 12	TCF12
transcription factor 15	TCF15
transcription factor 19	TCF19
transcription factor 20	TCF20
transcription factor 21	TCF21
transcription factor 23	TCF23
transcription factor 24	TCF24
transcription factor 25	TCF25
transcription factor like 5	TCFL5
trichohyalin	TCHH
trichohyalin like 1	TCHHL1
trichoplein keratin filament binding	TCHP
transcriptional and immune response regulator	TCIM
T cell immune regulator 1, ATPase H+ transporting V0 subunit a3	TCIRG1
T cell leukemia/lymphoma 1A	TCL1A
T cell leukemia/lymphoma 1B	TCL1B
T cell leukemia/lymphoma 4	TCL4
T cell leukemia/lymphoma 6	TCL6
transcobalamin 1	TCN1
transcobalamin 2	TCN2
treacle ribosome biogenesis factor 1	TCOF1
t-complex 1	TCP1
t-complex 1 pseudogene 1	TCP1P1
t-complex 1 pseudogene 2	TCP1P2
t-complex 1 pseudogene 3	TCP1P3
t-complex 10	TCP10
t-complex 10 like	TCP10L
t-complex 10 like 2	TCP10L2
t-complex 11	TCP11
t-complex 11 like 1	TCP11L1
t-complex 11 like 2	TCP11L2
t-complex 11 family, X-linked 1	TCP11X1
t-complex 11 family, X-linked 2	TCP11X2
t-complex 11 family, X-linked 3, pseudogene	TCP11X3P
T cell leukemia translocation altered	TCTA
t-complex-associated-testis-expressed 1	TCTE1
t-complex-associated-testis-expressed 3	TCTE3
Tctex1 domain containing 1	TCTEX1D1
Tctex1 domain containing 2	TCTEX1D2
Tctex1 domain containing 4	TCTEX1D4
tectonic family member 1	TCTN1
tectonic family member 2	TCTN2
tectonic family member 3	TCTN3
thymine DNA glycosylase	TDG
teratocarcinoma-derived growth factor 1	TDGF1
teratocarcinoma-derived growth factor 1 pseudogene 1	TDGF1P1
teratocarcinoma-derived growth factor 1 pseudogene 2	TDGF1P2
teratocarcinoma-derived growth factor 1 pseudogene 3	TDGF1P3
teratocarcinoma-derived growth factor 1 pseudogene 4	TDGF1P4
teratocarcinoma-derived growth factor 1 pseudogene 5	TDGF1P5
teratocarcinoma-derived growth factor 1 pseudogene 6	TDGF1P6
teratocarcinoma-derived growth factor 1 pseudogene 7	TDGF1P7
thymine-DNA glycosylase pseudogene 1	TDGP1
L-threonine dehydrogenase (pseudogene)	TDH
tryptophan 2,3-dioxygenase	TDO2
tyrosyl-DNA phosphodiesterase 1	TDP1
tyrosyl-DNA phosphodiesterase 2	TDP2
tudor domain containing 1	TDRD1
tudor domain containing 3	TDRD3
tudor domain containing 5	TDRD5
tudor domain containing 6	TDRD6
tudor domain containing 7	TDRD7
tudor domain containing 9	TDRD9
tudor domain containing 10	TDRD10
tudor domain containing 12	TDRD12
tudor domain containing 15	TDRD15
testis development related 1	TDRG1
tudor and KH domain containing	TDRKH
TDRKH antisense RNA 1	TDRKH-AS1
testis development related protein	TDRP
TEA domain transcription factor 1	TEAD1
TEA domain transcription factor 2	TEAD2
TEA domain transcription factor 3	TEAD3
TEA domain transcription factor 4	TEAD4
tec protein tyrosine kinase	TEC
tectonin beta-propeller repeat containing 1	TECPR1
tectonin beta-propeller repeat containing 2	TECPR2
trans-2,3-enoyl-CoA reductase	TECR
trans-2,3-enoyl-CoA reductase like	TECRL
trans-2,3-enoyl-CoA reductase pseudogene 1	TECRP1
trans-2,3-enoyl-CoA reductase pseudogene 2	TECRP2
tectorin alpha	TECTA
tectorin beta	TECTB
tubulin epsilon and delta complex 1	TEDC1
tubulin epsilon and delta complex 2	TEDC2
transmembrane epididymal protein 1	TEDDM1
transmembrane epididymal protein 2, pseudogene	TEDDM2P
TEF transcription factor, PAR bZIP family member	TEF
transcription elongation factor, mitochondrial	TEFM
TEK receptor tyrosine kinase	TEK
tektin 1	TEKT1
tektin 2	TEKT2
tektin 3	TEKT3
tektin 4	TEKT4
tektin 4 pseudogene 1	TEKT4P1
tektin 4 pseudogene 2	TEKT4P2
tektin 4 pseudogene 3	TEKT4P3
tektin 5	TEKT5
telangiectasia, benign 1	TELAB1
telomere maintenance 2	TELO2
TENM3 antisense transcript 1	TEMN3-AS1
TEN1 subunit of CST complex	TEN1
TEN1-CDK3 readthrough (NMD candidate)	TEN1-CDK3
teneurin transmembrane protein 1	TENM1
teneurin transmembrane protein 2	TENM2
teneurin transmembrane protein 3	TENM3
TENM3 antisense RNA 1	TENM3-AS1
teneurin transmembrane protein 4	TENM4
terminal nucleotidyltransferase 2	TENT2
terminal nucleotidyltransferase 4A	TENT4A
terminal nucleotidyltransferase 4B	TENT4B
terminal nucleotidyltransferase 5A	TENT5A
terminal nucleotidyltransferase 5B	TENT5B
terminal nucleotidyltransferase 5C	TENT5C
terminal nucleotidyltransferase 5D	TENT5D
telomerase associated protein 1	TEP1
testis, prostate and placenta expressed	TEPP
TEPSIN adaptor related protein complex 4 accessory protein	TEPSIN
telomere repeat binding bouquet formation protein 1	TERB1
telomere repeat binding bouquet formation protein 2	TERB2
telomerase RNA component	TERC
telomeric repeat binding factor 1	TERF1
telomeric repeat binding factor 1 pseudogene 1	TERF1P1
telomeric repeat binding factor 1 pseudogene 2	TERF1P2
telomeric repeat binding factor 1 pseudogene 3	TERF1P3
telomeric repeat binding factor 1 pseudogene 4	TERF1P4
telomeric repeat binding factor 1 pseudogene 5	TERF1P5
telomeric repeat binding factor 2	TERF2
TERF2 interacting protein	TERF2IP
TERF2 interacting protein pseudogene 1	TERF2IPP1
telomerase reverse transcriptase	TERT
testin LIM domain protein	TES
tescalcin	TESC
TESC antisense RNA 1 (head to head)	TESC-AS1
testis associated actin remodelling kinase 1	TESK1
testis associated actin remodelling kinase 2	TESK2
testis expressed metallothionein like protein	TESMIN
thymocyte expressed, positive selection associated 1	TESPA1
tet methylcytosine dioxygenase 1	TET1
tet methylcytosine dioxygenase 1 pseudogene 1	TET1P1
tet methylcytosine dioxygenase 2	TET2
TET2 antisense RNA 1	TET2-AS1
tet methylcytosine dioxygenase 3	TET3
testis expressed 2	TEX2
testis expressed 9	TEX9
testis expressed 10	TEX10
testis expressed 11	TEX11
testis expressed 12	TEX12
testis expressed 13A	TEX13A
testis expressed 13B	TEX13B
TEX13 family member C	TEX13C
TEX13 family member D	TEX13D
testis expressed 14, intercellular bridge forming factor	TEX14
testis expressed 15, meiosis and synapsis associated	TEX15
testis expressed 16, pseudogene	TEX16P
testis expressed 19	TEX19
testis expressed 21, pseudogene	TEX21P
testis expressed 22	TEX22
testis expressed 26	TEX26
TEX26 antisense RNA 1	TEX26-AS1
testis expressed 28	TEX28
testis expressed 28 pseudogene 1	TEX28P1
testis expressed 28 pseudogene 2	TEX28P2
testis expressed 29	TEX29
testis expressed 30	TEX30
testis expressed 33	TEX33
testis expressed 35	TEX35
testis expressed 36	TEX36
TEX36 antisense RNA 1	TEX36-AS1
testis expressed 37	TEX37
testis expressed 38	TEX38
testis expressed 41	TEX41
testis expressed 43	TEX43
testis expressed 44	TEX44
testis expressed 45	TEX45
testis expressed 46	TEX46
testis expressed 47	TEX47
testis expressed 48	TEX48
testis expressed 49	TEX49
testis expressed 50	TEX50
testis expressed 51	TEX51
testis expressed 52	TEX52
testis expressed 53	TEX53
testis expressed 54	TEX54
testis expressed 55	TEX55
testis expressed 101	TEX101
testis expressed 261	TEX261
testis expressed 264	TEX264
transferrin	TF
transcription factor A, mitochondrial	TFAM
transcription factor A, mitochondrial pseudogene 1	TFAMP1
transcription factor A, mitochondrial pseudogene 2	TFAMP2
transcription factor AP-2 alpha	TFAP2A
TFAP2A antisense RNA 1	TFAP2A-AS1
TFAP2A antisense RNA 2	TFAP2A-AS2
transcription factor AP-2 beta	TFAP2B
transcription factor AP-2 gamma	TFAP2C
transcription factor AP-2 delta	TFAP2D
transcription factor AP-2 epsilon	TFAP2E
transcription factor AP-4	TFAP4
transcription factor B1, mitochondrial	TFB1M
transcription factor B2, mitochondrial	TFB2M
transcription factor CP2	TFCP2
transcription factor CP2 like 1	TFCP2L1
transcription factor Dp-1	TFDP1
transcription factor Dp-1 pseudogene	TFDP1P
transcription factor Dp-2	TFDP2
transcription factor Dp family member 3	TFDP3
transcription factor binding to IGHM enhancer 3	TFE3
transcription factor EB	TFEB
transcription factor EC	TFEC
trefoil factor 1	TFF1
trefoil factor 2	TFF2
trefoil factor 3	TFF3
TRK-fused gene	TFG
tuftelin interacting protein 11	TFIP11
tissue factor pathway inhibitor	TFPI
tissue factor pathway inhibitor 2	TFPI2
