Abnormality of body height	Abnormality of body height
Complete duplication of the middle bone of the pinkie toe	Complete duplication of the middle phalanx of the 5th toe
Complete duplication of the middle bone of the pinky toe	Complete duplication of the middle phalanx of the 5th toe
Complete duplication of the middle phalanx of the fifth toe	Complete duplication of the middle phalanx of the 5th toe
Complete duplication of the innermost 3rd toe bone	Complete duplication of the proximal phalanx of the 3rd toe
Complete duplication of the innermost 4th toe bone	Complete duplication of the proximal phalanx of the 4th toe
Complete duplication of the innermost bone of the little toe	Complete duplication of the proximal phalanx of the 5th toe
Complete duplication of the innermost bone of the pinkie toe	Complete duplication of the proximal phalanx of the 5th toe
Complete duplication of the innermost bone of the pinky toe	Complete duplication of the proximal phalanx of the 5th toe
Complete duplication of the proximal phalanx of the fifth toe	Complete duplication of the proximal phalanx of the 5th toe
Partial duplication of the distal phalanx of the third toe	Partial duplication of the distal phalanx of the 3rd toe
Partial duplication of the outermost bone of the 3rd toe	Partial duplication of the distal phalanx of the 3rd toe
Partial duplication of the distal phalanx of the fourth toe	Partial duplication of the distal phalanx of the 4th toe
Partial duplication of the outermost bone of the fourth toe	Partial duplication of the distal phalanx of the 4th toe
Partial duplication of the distal phalanx of the fifth toe	Partial duplication of the distal phalanx of the 5th toe
Partial duplication of the outermost bone of the fifth toe	Partial duplication of the distal phalanx of the 5th toe
Partial duplication of the outermost bone of the little toe	Partial duplication of the distal phalanx of the 5th toe
Partial duplication of the outermost bone of the pinkie toe	Partial duplication of the distal phalanx of the 5th toe
Partial duplication of the outermost bone of the pinky toe	Partial duplication of the distal phalanx of the 5th toe
Partial duplication of the middle bone of 3rd toe	Partial duplication of the middle phalanx of the 3rd toe
Partial duplication of the middle phalanx of the third toe	Partial duplication of the middle phalanx of the 3rd toe
Partial duplication of the middle bone of the 4th toe	Partial duplication of the middle phalanx of the 4th toe
Partial duplication of the middle phalanx of the fourth toe	Partial duplication of the middle phalanx of the 4th toe
Partial duplication of the middle bone of the little toe	Partial duplication of the middle phalanx of the 5th toe
Partial duplication of the middle bone of the pinkie toe	Partial duplication of the middle phalanx of the 5th toe
Partial duplication of the middle bone of the pinky toe	Partial duplication of the middle phalanx of the 5th toe
Partial duplication of the middle phalanx of the fifth toe	Partial duplication of the middle phalanx of the 5th toe
Partial duplication of the innermost bone of 3rd toe	Partial duplication of the proximal phalanx of the 3rd toe
Partial duplication of the proximal phalanx of the third toe	Partial duplication of the proximal phalanx of the 3rd toe
Partial duplication of the innermost bone of 4th toe	Partial duplication of the proximal phalanx of the 4th toe
Partial duplication of the innermost bone of the little toe	Partial duplication of the proximal phalanx of the 5th toe
Partial duplication of the innermost bone of the pinkie toe	Partial duplication of the proximal phalanx of the 5th toe
Partial duplication of the innermost bone of the pinky toe	Partial duplication of the proximal phalanx of the 5th toe
Partial duplication of the proximal phalanx of the fifth toe	Partial duplication of the proximal phalanx of the 5th toe
Broad middle 3rd toe bone	Broad middle phalanx of the 3rd toe
Broad middle 4th toe bone	Broad middle phalanx of the 4th toe
Broad middle bone of the little toe	Broad middle phalanx of the 5th toe
Broad middle bone of the pinkie toe	Broad middle phalanx of the 5th toe
Broad middle bone of the pinky toe	Broad middle phalanx of the 5th toe
Wide innermost bone of 3rd toe	Broad proximal phalanx of the 3rd toe
Wide innermost bone of 4th toe	Broad proximal phalanx of the 4th toe
Broad innermost bone of the little toe	Broad proximal phalanx of the 5th toe
Broad innermost bone of the pinkie toe	Broad proximal phalanx of the 5th toe
Broad innermost bone of the pinky toe	Broad proximal phalanx of the 5th toe
Broad outermost bone of the 3rd toe	Broad distal phalanx of the 3rd toe
Wide outermost bone of the 3rd toe	Broad distal phalanx of the 3rd toe
Broad outermost bone of the 4th toe	Broad distal phalanx of the 4th toe
Wide outermost bone of the 4th toe	Broad distal phalanx of the 4th toe
Broad outermost bone of the 5th toe	Broad distal phalanx of the 5th toe
Wide outermost bone of the little toe	Broad distal phalanx of the 5th toe
Wide outermost bone of the pinkie toe	Broad distal phalanx of the 5th toe
Wide outermost bone of the pinky toe	Broad distal phalanx of the 5th toe
Bullet-shaped middle bone of the 3rd toe	Bullet-shaped middle phalanx of the 3rd toe
Bullet-shaped middle bone of the 4th toe	Bullet-shaped middle phalanx of the 4th toe
Bullet-shaped middle bone of the little toe	Bullet-shaped middle phalanx of the 5th toe
Bullet-shaped middle bone of the pinkie toe	Bullet-shaped middle phalanx of the 5th toe
Bullet-shaped middle bone of the pinky toe	Bullet-shaped middle phalanx of the 5th toe
Bullet-shaped proximal bone of the 3rd toe	Bullet-shaped proximal phalanx of the 3rd toe
Bullet-shaped proximal bone of the 4th toe	Bullet-shaped proximal phalanx of the 4th toe
Bullet-shaped innermost bone of little toe	Bullet-shaped proximal phalanx of the 5th toe
Bullet-shaped innermost bone of pinkie toe	Bullet-shaped proximal phalanx of the 5th toe
Bullet-shaped innermost bone of pinky toe	Bullet-shaped proximal phalanx of the 5th toe
Bullet-shaped outermost bone of the 3rd toe	Bullet-shaped distal phalanx of the 3rd toe
Bullet-shaped outermost bone of the 4th toe	Bullet-shaped distal phalanx of the 4th toe
Bullet-shaped outermost bone of the little toe	Bullet-shaped distal phalanx of the 5th toe
Bullet-shaped outermost bone of the pinkie toe	Bullet-shaped distal phalanx of the 5th toe
Bullet-shaped outermost bone of the pinky toe	Bullet-shaped distal phalanx of the 5th toe
Curved middle bone of 3rd toe	Curved middle phalanx of the 3rd toe
Curved middle bone of 4th toe	Curved middle phalanx of the 4th toe
Curved middle bone of little toe	Curved middle phalanx of the 5th toe
Curved middle bone of pinkie toe	Curved middle phalanx of the 5th toe
Curved middle bone of pinky toe	Curved middle phalanx of the 5th toe
Curved innermost bone of 3rd toe	Curved proximal phalanx of the 3rd toe
Curved innermost bone of the 4th toe	Curved proximal phalanx of the 4th toe
Curved innermost little toe bone	Curved proximal phalanx of the 5th toe
Curved innermost pinkie toe bone	Curved proximal phalanx of the 5th toe
Curved innermost pinky toe bone	Curved proximal phalanx of the 5th toe
Curved outermost bone of the 3rd toe	Curved distal phalanx of the 3rd toe
Curved outermost bone of the 4th toe	Curved distal phalanx of the 4th toe
Curved outermost bone of the little toe	Curved distal phalanx of the 5th toe
Curved outermost bone of the pinkie toe	Curved distal phalanx of the 5th toe
Curved outermost bone of the pinky toe	Curved distal phalanx of the 5th toe
Osteolytic defects of the outermost bone of the 3rd toe	Osteolytic defects of the distal phalanx of the 3rd toe
Osteolytic defects of the outermost bone of the 4th toe	Osteolytic defects of the distal phalanx of the 4th toe
Osteolytic defects of the outermost bone of the 5th toe	Osteolytic defects of the distal phalanx of the 5th toe
Uneven increase in bone density in the middle bone of the 3rd toe	Patchy sclerosis of the middle phalanx of the 3rd toe
Uneven increase in bone density in middle bone of the 4th toe	Patchy sclerosis of the middle phalanx of the 4th toe
Uneven increase in bone density in the middle bone of the little toe	Patchy sclerosis of the middle phalanx of the 5th toe
Uneven increase in bone density in the middle bone of the pinkie toe	Patchy sclerosis of the middle phalanx of the 5th toe
Uneven increase in bone density in the middle bone of the pinky toe	Patchy sclerosis of the middle phalanx of the 5th toe
Uneven increase in bone density in the innermost bone of the 3rd toe	Patchy sclerosis of the proximal phalanx of the 3rd toe
Uneven increase in bone density in the innermost bone of the 4th toe	Patchy sclerosis of the proximal phalanx of the 4th toe
Uneven increase in bone density in the innermost bone of the little toe	Patchy sclerosis of the proximal phalanx of the 5th toe
Uneven increase in bone density in the innermost bone of the pinkie toe	Patchy sclerosis of the proximal phalanx of the 5th toe
Uneven increase in bone density in the innermost bone of the pinky toe	Patchy sclerosis of the proximal phalanx of the 5th toe
Uneven increase in bone density in the outermost bone of the 3rd toe	Patchy sclerosis of the distal phalanx of the 3rd toe
Uneven increase in bone density in the outermost bone of the 4th toe	Patchy sclerosis of the distal phalanx of the 4th toe
Uneven increase in bone density in the outermost little toe bone	Patchy sclerosis of the distal phalanx of the 5th toe
Uneven increase in bone density in the outermost pinkie toe bone	Patchy sclerosis of the distal phalanx of the 5th toe
Uneven increase in bone density in the outermost pinky toe bone	Patchy sclerosis of the distal phalanx of the 5th toe
Fused middle bones of 3rd toe	Symphalangism affecting the middle phalanx of the 3rd toe
Fused middle bones of 4th toe	Symphalangism affecting the middle phalanx of the 4th toe
Fused middle bones of 5th toe	Symphalangism affecting the middle phalanx of the 5th toe
Fused innermost bone of 3rd toe	Symphalangism affecting the proximal phalanx of the 3rd toe
Fused innermost bones of 4th toe	Symphalangism affecting the proximal phalanx of the 4th toe
Fused innermost bone of little toe	Symphalangism affecting the proximal phalanx of the 5th toe
Fused innermost bone of pinkie toe	Symphalangism affecting the proximal phalanx of the 5th toe
Fused innermost bone of pinky toe	Symphalangism affecting the proximal phalanx of the 5th toe
Fused outermost bone of 3rd toe	Symphalangism affecting the distal phalanx of the 3rd toe
Fused outermost bone of the 4th toe	Symphalangism affecting the distal phalanx of the 4th toe
Fused outermost bones of the little toe	Symphalangism affecting the distal phalanx of the 5th toe
Fused outermost bones of the pinkie toe	Symphalangism affecting the distal phalanx of the 5th toe
Fused outermost bones of the pinky toe	Symphalangism affecting the distal phalanx of the 5th toe
Fused innermost and middle bones of 3rd toe	Proximal/middle symphalangism of 3rd toe
Symphalangism of the middle and proximal phalanges of the 3rd toe	Proximal/middle symphalangism of 3rd toe
Fused innermost and middle bones of 4th toe	Proximal/middle symphalangism of 4th toe
Symphalangism of the middle and proximal phalanges of the 4th toe	Proximal/middle symphalangism of 4th toe
Fused innermost and middle little toe bones	Proximal/middle symphalangism of 5th toe
Fused innermost and middle pinkie toe bones	Proximal/middle symphalangism of 5th toe
Fused innermost and middle pinky toe bones	Proximal/middle symphalangism of 5th toe
Symphalangism of the middle and proximal phalanges of the 5th toe	Proximal/middle symphalangism of 5th toe
Fused innermost bone of 2nd toe with the 2nd long bone of foot	Symphalangism of the proximal phalanx of the 2nd toe with the 2nd metatarsal
Fused innermost bones of third toe with 3rd long bone of foot	Symphalangism of the proximal phalanx of the 3rd toe with the 3rd metatarsal
Fused innermost bone of the 4th toe with 4th long bone of foot	Symphalangism of the proximal phalanx of the 4th toe with the 4th metatarsal
Fused innermost pinky toe bone with the 5th long bone of foot	Symphalangism of the proximal phalanx of the 5th toe with the 5th metatarsal
Triangular shaped outermost bone of the little toe	Triangular shaped distal phalanx of the 5th toe
Triangular shaped outermost bone of the pinkie toe	Triangular shaped distal phalanx of the 5th toe
Triangular shaped outermost bone of the pinky toe	Triangular shaped distal phalanx of the 5th toe
Fusion of the innermost big toe bone with the 1st long bone of foot	Synostosis of the proximal phalanx of the hallux with the 1st metatarsal
Fused middle and innermost bones of 2nd toe	Proximal/middle symphalangism of 2nd toe
Symphalangism of the middle and proximal phalanges of the 2nd toe	Proximal/middle symphalangism of 2nd toe
Camptodactyly of hands	Camptodactyly of finger
Camptodactyly of proximal interphalangeal joint	Camptodactyly of finger
Contractures of the proximal interphalangeal joints of the fingers	Camptodactyly of finger
Flexion contractures of proximal interphalangeal joints	Camptodactyly of finger
Permanent flexion of the finger	Camptodactyly of finger
Proximal interphalangeal finger joint contractures	Camptodactyly of finger
Abnormality of lower limb joint	Abnormality of lower limb joint
Abnormality of the joints of the lower limbs	Abnormality of lower limb joint
Abnormality of mast cells	Abnormal mast cell morphology
Abnormality of mastocytes	Abnormal mast cell morphology
Abnormality of the vitamin B3 metabolism	Abnormality of the vitamin B3 metabolism
Vitamin B3 deficiency	Vitamin B3 deficiency
Medial deviation of toes	Tibial deviation of toes
Lateral deviation of toes	Fibular deviation of toes
Vitamin B12 deficiency	Vitamin B12 deficiency
Reduced blood thiamine level	Vitamin B1 deficiency
Vitamin B1 deficiency	Vitamin B1 deficiency
Riboflavin deficiency	Vitamin B2 deficiency
Vitamin B2 deficiency	Vitamin B2 deficiency
Vitamin B5 deficiency	Vitamin B5 deficiency
Vitamin B8 deficiency	Vitamin B8 deficiency
Folate deficiency	Reduced blood folate concentration
Vitamin B9 deficiency	Reduced blood folate concentration
Abnormality of vitamin metabolism	Abnormality of vitamin metabolism
Abnormality of vitamin C metabolism	Abnormality of vitamin C metabolism
Vitamin C deficiency	Vitamin C deficiency
Abnormality of vitamin D metabolism	Abnormality of vitamin D metabolism
Deficient in vitamin D	Vitamin D deficiency
Vitamin D deficiency	Vitamin D deficiency
Alpha-tocopherol deficiency	Vitamin E deficiency
Vitamin E deficiency	Vitamin E deficiency
Abnormality of vitamin E metabolism	Abnormality of vitamin E metabolism
Constant urination	Pollakisuria
Frequent urination	Pollakisuria
Neoplasia of the ureters	Neoplasm of the ureter
ureter, cancer of	Neoplasm of the ureter
Neoplasia of the urethra	Neoplasm of the urethra
Dull burning sensation with urination	Dysuria
Painful or difficult urination	Dysuria
Absent urine output	Anuria
Hepatic abscess	Liver abscess
Liver abscess	Liver abscess
Dimelia	Limb duplication
Limb duplication	Limb duplication
Lung cancer	Neoplasm of the lung
Lung tumor	Neoplasm of the lung
Abnormality of phosphate homeostasis	Abnormal blood phosphate concentration
Wind-swept deformity of the knees	Wind-swept deformity of the knees
Inflammation of the outer white part of the eye	Scleritis
Inflammatory abnormality of the eye	Inflammatory abnormality of the eye
Ocular inflammation	Inflammatory abnormality of the eye
Inflammation of the thin layer on top of the white part of eye	Episcleritis
Inflammation of the fascia	Fasciitis
Abnormality of the brow of the face	Abnormality of the supraorbital ridges
Deformity of the supraorbital margins	Abnormality of the supraorbital ridges
Deformity of the supraorbital ridges	Abnormality of the supraorbital ridges
Malformation of the supraorbital margins	Abnormality of the supraorbital ridges
Malformation of the supraorbital ridges	Abnormality of the supraorbital ridges
Periorbital cellulitis	Periorbital edema
Periorbital swelling	Periorbital edema
Puffiness around the eyes	Periorbital edema
Puffy eyes	Periorbital edema
Swelling around the eyes	Periorbital edema
Edema of the eyelids	Palpebral edema
Eyelid edema	Palpebral edema
Fullness of eyelids	Palpebral edema
Puffy eyelids	Palpebral edema
Puffy lids	Palpebral edema
Swelling of eyelids	Palpebral edema
Crural hernia	Femoral hernia
Abnormal localisation of kidneys	Abnormal localization of kidney
Abnormality of cognition	Cognitive impairment
Cognitive abnormality	Cognitive impairment
Cognitive defects	Cognitive impairment
Cognitive deficits	Cognitive impairment
Cognitive impairment	Cognitive impairment
Intellectual impairment	Cognitive impairment
Mental impairment	Cognitive impairment
Cardiac neoplasia	Neoplasm of the heart
Cardiac neoplasm	Neoplasm of the heart
Heart tumor	Neoplasm of the heart
Narrowing of an artery	Arterial stenosis
Carotid stenosis	Carotid artery stenosis
Narrowing of carotid artery	Carotid artery stenosis
Abnormal shape of forebrain	Abnormality of forebrain morphology
Abnormality of the forebrain	Abnormality of forebrain morphology
Rupture of tendons	Tendon rupture
Ruptured tendon	Tendon rupture
Tendon rupture	Tendon rupture
Tracheal neoplasm	Neoplasm of the trachea
Overgrowth of one leg	Hemihypertrophy of lower limb
Overgrowth of one arm	Hemihypertrophy of upper limb
Uneven or disproportionate growth of one body part compared to another	Asymmetric growth
Asymmetric limb shortening	Hemiatrophy
Hemiatrophy of the body	Hemiatrophy
Asymmetric lower limb shortening	Hemiatrophy of lower limb
Asymmetric upper limb shortening	Hemiatrophy of upper limb
Hemihypotrophy of upper limb	Hemiatrophy of upper limb
Left and right leg differ in length or width	Lower limb asymmetry
Leg length discrepancy	Lower limb asymmetry
Unequal size of arms	Upper limb asymmetry
Duplication of spinal cord	Diplomyelia
Triplication of spinal cord	Triplomyelia
Absent spinal cord	Amyelia
Endocrine neoplasia	Neoplasm of the endocrine system
Abnormal bone maturation of vertebra	Abnormally ossified vertebrae
Abnormal vertebral ossification	Abnormally ossified vertebrae
Abnormality of ossification/mineralisation of vertebrae	Abnormally ossified vertebrae
Carcinoid	Carcinoid tumor
Carcinoid tumors	Carcinoid tumor
Ventricular diverticulum	Cardiac diverticulum
Congenital ventricular aneurysm	Fibrous cardiac diverticulum
Neoplasia of the biliary tract	Biliary tract neoplasm
Neoplasia of the gallbladder	Neoplasm of the gallbladder
Cystitis of the urinary bladder	Urinary bladder inflammation
Urinary bladder inflammation	Urinary bladder inflammation
Atrophy of fat	Lipoatrophy
Loss of fat tissue in localized area	Lipoatrophy
Barret syndrome	Barrett esophagus
Barrett's esophagus	Barrett esophagus
Endobrachyesophagus	Barrett esophagus
Caliceal dilatation	Dilatation of renal calices
Caliectasis	Dilatation of renal calices
Megacalicosis	Dilatation of renal calices
Nasal polyps	Nasal polyposis
Polys of nose	Nasal polyposis
Iridocele	Corneal perforation
Teleangiectasia of the skin	Telangiectasia of the skin
Abouphalia	Absent nares
Aplasia of the nares	Absent nares
Aplasia/Hypoplasia of the nares	Absent nares
Missing nostrils	Absent nares
Excess fluid in lungs	Pulmonary edema
Lung edema	Pulmonary edema
Pulmonary oedema	Pulmonary edema
Wet lung	Pulmonary edema
Diphallia	Bifid penis
Penile duplication	Bifid penis
Prepenile scrotum	Penoscrotal transposition
Pre-eclampsia	Preeclampsia
Hypertensive disorder of pregnancy	Toxemia of pregnancy
Lip tumor	Neoplasm of the lip
Neoplasia of the lip	Neoplasm of the lip
Tumor of the lip	Neoplasm of the lip
Respiratory system tumor	Neoplasm of the respiratory system
Painful menstruation	Dysmenorrhea
Abnormal uterus bleeding	Metrorrhagia
Intermenstrual bleeding	Metrorrhagia
Menstrual spotting	Metrorrhagia
High blood phenylalanine level in mother	Maternal hyperphenylalaninemia
Glomerulocystic kidney disease	Multiple glomerular cysts
Odontogenic tumor	Odontogenic neoplasm
Death in early adulthood	Death in early adulthood
Muscle inflammation	Myositis
Neoplasm of the ovaries	Ovarian neoplasm
Neoplasm of the ovary	Ovarian neoplasm
Ovarian cancer	Ovarian neoplasm
Ovarian neoplasia	Ovarian neoplasm
Ovarian tumor	Ovarian neoplasm
Sertoli cell neoplasia	Sertoli cell neoplasm
Wide rib cage	Enlarged thorax
Wide thorax	Enlarged thorax
Chronic liver failure	Chronic hepatic failure
Displacement of the external urethral orifice	Displacement of the urethral meatus
Displacement of the male external urethral orifice	Displacement of the urethral meatus
Esophageal pouch	Esophageal diverticulum
Midline facial cleft	Midline facial cleft
Tessier facial cleft number 0	Midline facial cleft
Tessier facial cleft number 14	Midline facial cleft
Nasopharyngeal neoplasm	Neoplasia of the nasopharynx
Neoplasm of the nasopharynx	Neoplasia of the nasopharynx
Tumor of the nasopharynx	Neoplasia of the nasopharynx
Adrenal neoplasia	Neoplasm of the adrenal gland
Cystic lung lesion	Pulmonary sequestration
Inflammation of the esophagus	Esophagitis
Oesophagitis	Esophagitis
Neuroendocrine neoplasia	Neuroendocrine neoplasm
Neoplasia of the pharynx	Neoplasm of the pharynx
Pharyngeal neoplasm	Neoplasm of the pharynx
Tumor of the pharynx	Neoplasm of the pharynx
Abnormal erection	Erectile abnormalities
Erectile abnormalities	Erectile abnormalities
Cortical adrenal neoplasia	Neoplasm of the adrenal cortex
Medullar adrenal neoplasia	Neoplasm of the adrenal medulla
Abnormality of nail color	Abnormality of nail color
Abnormality of nail colour	Abnormality of nail color
Nail dyschromia	Abnormality of nail color
Bladder hernia	Cystocele
Dropped bladder	Cystocele
Prolapsed bladder	Cystocele
Thyroid gland inflammation	Thyroiditis
Morbus Basedow	Graves disease
Lesion of mouth	Neoplasm of the oral cavity
Lesion of oral cavity	Neoplasm of the oral cavity
Neoplasm of the mouth	Neoplasm of the oral cavity
Tumor of mouth	Neoplasm of the oral cavity
Tumor of oral cavity	Neoplasm of the oral cavity
Vaginal neoplasia	Vaginal neoplasm
Vaginal tumor	Vaginal neoplasm
Diabetes mellitus Type I	Type I diabetes mellitus
Insulin-dependent diabetes mellitus	Type I diabetes mellitus
Juvenile diabetes mellitus	Type I diabetes mellitus
Type 1 diabetes	Type I diabetes mellitus
Type I diabetes	Type I diabetes mellitus
Retrobulbar neuritis	Retrobulbar optic neuritis
Thoracoabdominal schisis	Thoracoabdominal wall defect
Celosomia	Thoracoabdominal eventration
Kelosomia	Thoracoabdominal eventration
Bacterial infection of skin	Cellulitis
Skin infection	Cellulitis
Abnormality of the cerebral blood vessels	Abnormality of the cerebral vasculature
Disorder of involuntary muscle movements	Dyskinesia
Dyskinesias	Dyskinesia
Dyskinesis	Dyskinesia
Tic douloureux	Trigeminal neuralgia
Cartilage inflammation	Chondritis
Angioneurotic oedema	Angioedema
Angiooedema	Angioedema
Quincke edema	Angioedema
Bowel duplication	Intestinal duplication
Gut duplication	Intestinal duplication
Abnormal color of the oral mucosa	Abnormal pigmentation of the oral mucosa
Abnormal pigmentation of oral cavity	Abnormal pigmentation of the oral mucosa
Abnormal pigmentation of oral mucous membrane	Abnormal pigmentation of the oral mucosa
Abnormal pigmentation of the oral mucosa/gingivae	Abnormal pigmentation of the oral mucosa
Rough trabeculation of bone	Rough bone trabeculation
Abnormal shape of spongy bone	Abnormal trabecular bone morphology
Abnormality of bone trabeculation	Abnormal trabecular bone morphology
Premature skin wrinkling	Premature skin wrinkling
Wrinkled skin	Premature skin wrinkling
Tight skin	Lack of skin elasticity
Cancer of salivary gland	Salivary gland neoplasm
Salivary gland neoplasia	Salivary gland neoplasm
Tumor of salivary gland	Salivary gland neoplasm
Abnormality of Sharpey fibers	Abnormal Sharpey fiber morphology
Enthesis abnormality	Abnormal Sharpey fiber morphology
Inflammation of sharpey fibers	Enthesitis
Thin cornea	Decreased corneal thickness
Steep corneal curvature	Increased corneal curvature
Malignant peripheral nerve sheath tumor	Neurofibrosarcoma
Malignant schwannoma	Neurofibrosarcoma
Neurosarcoma	Neurofibrosarcoma
Scar tissue	Scarring
Scarring	Scarring
Abnormality of the arachnoid mater	Abnormal arachnoid mater morphology
Abnormality of the arachnoidea	Abnormal arachnoid mater morphology
Abnormality of the pia mater	Abnormal pia mater
Arachnoid cysts	Arachnoid cyst
Fluid-filled sac located in membrane surrounding brain or spinal cord	Arachnoid cyst
Tongue thrusting	Tongue thrusting
Cortical blindness	Cerebral visual impairment
Cortical visual impairment	Cerebral visual impairment
Cortical/cerebral visual impairment	Cerebral visual impairment
CVI	Cerebral visual impairment
Impulsive	Impulsivity
Impulsivity	Impulsivity
Autoagression	Self-injurious behavior
Self injury	Self-injurious behavior
Self-harm	Self-injurious behavior
Self-injurious behavior	Self-injurious behavior
Self-injurious behaviors	Self-injurious behavior
Self-injurious behaviour	Self-injurious behavior
Underdeveloped ear cartilage	Hypoplasia of the ear cartilage
Swollen lymph nodes in center of chest	Mediastinal lymphadenopathy
Gastrointestinal stromal tumor	Gastrointestinal stroma tumor
Gastrointestinal stromal tumors	Gastrointestinal stroma tumor
GIST	Gastrointestinal stroma tumor
Blood hyperviscosity	Hypercoagulability
Thrombophilia	Hypercoagulability
Big face	Large face
Large face	Large face
Large facies	Large face
Lateral facial cleft	Transverse facial cleft
Tessier cleft number 7	Transverse facial cleft
Tessier facial cleft number 6	Transverse facial cleft
Tessier facial cleft number 7	Transverse facial cleft
Tessier facial cleft number 8	Transverse facial cleft
Parathyroid neoplasia	Neoplasm of the parathyroid gland
Abnormal shape of the end part of the vertebra bone	Abnormality of vertebral epiphysis morphology
Abnormality of the vertebral epiphyses	Abnormality of vertebral epiphysis morphology
Abnormality of the muscular palate	Abnormal soft palate morphology
Abnormality of the soft palate	Abnormal soft palate morphology
Abnormality of the velum	Abnormal soft palate morphology
Abnormality of the velum palatinum	Abnormal soft palate morphology
Abnormality of the hard palate	Abnormal hard palate morphology
Abnormality of the secondary palate	Abnormal hard palate morphology
Abnormal eating behavior	Abnormal eating behavior
Binge and purge	Bulimia
Blood vessel tumor	Vascular neoplasm
Rectal tumor	Neoplasm of the rectum
Macrodactyly of hands	Macrodactyly of finger
Foot macrodactyly	Macrodactyly of toe
Chest pain	Chest pain
Thoracic pain	Chest pain
Partial or complete collapse of part or entire lung	Atelectasis
Pulmonary atelectasis	Atelectasis
Esophageal tumor	Esophageal neoplasm
Anomalous liver lobulation	Abnormal liver lobulation
Hepatic anomalous lobulation	Abnormal liver lobulation
Manic	Mania
Abnormal spit	Abnormality of salivation
Abnormality of salivation	Abnormality of salivation
Death of body tissue due to lack of blood flow or infection	Gangrene
Clubbed fingers	Clubbing of fingers
Clubbing (hands)	Clubbing of fingers
Clubbing of fingers	Clubbing of fingers
Finger clubbing	Clubbing of fingers
Clubbed toes	Clubbing of toes
Clubbing of feet	Clubbing of toes
Haemobilia	Hemobilia
Lymphatic disease	Abnormality of the lymphatic system
Abnormality of the lymphatic vessels	Abnormal lymphatic vessel morphology
Placental issue	Abnormality of the placenta
Stomach churning	Hyperperistalsis
Intestinal hypoperistalsis	Hypoperistalsis
Cartilage destruction	Cartilage destruction
Bone Hypertrophy	Hyperostosis
Bone overgrowth	Hyperostosis
Pharyngitis, recurrent	Recurrent pharyngitis
Recurrent sore throat	Recurrent pharyngitis
Formation of new noncancerous bone on top of existing bone	Exostoses
Cryoprecipitable immune complexes	Cryoglobulinemia
Absent breast	Breast aplasia
Congenital absence of breast	Breast aplasia
Mammary gland aplasia	Breast aplasia
Difficulty staying or falling asleep	Insomnia
Fragmented sleep	Insomnia
Excessive sleepiness	Hypersomnia
Adhesion of upper and lower lips	Fused lips
Fused lips	Fused lips
Fusion of upper and lower lips	Fused lips
Maxillary torus	Torus palatinus
Palatal tori	Torus palatinus
Palatal torus	Torus palatinus
Palate exostoses	Torus palatinus
Prominent midpalatal ridge	Torus palatinus
Hernias	Hernia
Nikolsky's sign	Acantholysis
Abnormally straight spine	Abnormally straight spine
Inflammation of testicles	Orchitis
Abnormal toenail development	Toenail dysplasia
Dysplastic toenails	Toenail dysplasia
Abnormal fingernail development	Fingernail dysplasia
Dysplastic fingernails	Fingernail dysplasia
Middle ear tumor	Neoplasm of the middle ear
Neoplasia of the middle ear	Neoplasm of the middle ear
Absent/small pancreas	Aplasia/Hypoplasia of the pancreas
Absent/underdeveloped pancreas	Aplasia/Hypoplasia of the pancreas
Absent pancreas	Pancreatic aplasia
Abnormal stomach location	Malposition of the stomach
Gastric ectopia	Malposition of the stomach
Gastric malposition	Malposition of the stomach
Koenen tumor	Ungual fibroma
Koenen's tumor	Ungual fibroma
Parungual fibromas	Ungual fibroma
Periungual fibroma	Ungual fibroma
Infection in blood stream	Sepsis
Long fingers	Long fingers
Stomach diverticulum	Gastric diverticulum
Allodynia of scalp	Scalp tenderness
Scalp hypersensitivity	Scalp tenderness
Scalp pain	Scalp tenderness
Scalp tenderness	Scalp tenderness
Elfin ear	Pointed helix
Pointed ear	Pointed helix
Spock's ear	Pointed helix
Absent/small colon	Aplasia/Hypoplasia of the colon
Absent/underdeveloped colon	Aplasia/Hypoplasia of the colon
Bad breath	Halitosis
Foetor ex ore	Halitosis
Spermatic cord torsion	Testicular torsion
Congenital dermal melanocytosis	Blue nevus
Mongolian spot	Blue nevus
Darkening of skin of the lips	Lip hyperpigmentation
Hyperpigmentation of lip vermillion	Lip hyperpigmentation
Increased pigmentation on the lips	Lip hyperpigmentation
Hypertension due to renal artery hyperplasia	Renovascular hypertension
Long rib cage	Long thorax
Diseased glomeruli	Glomerulopathy
Inflammation of the lips	Cheilitis
Red and sore lips	Cheilitis
Nail tumor	Neoplasm of the nail
High lymphocyte count	Lymphocytosis
Increase in T cell count	Increased T cell count
Increase in T cell number	Increased T cell count
Galactorrhoea	Galactorrhea
Spontaneous milk flow from breast	Galactorrhea
Round ear	Round ear
Abnormality of vitamin K metabolism	Abnormality of vitamin K metabolism
Eye floaters	Vitreous floaters
Flitting flies	Vitreous floaters
Mouches volantes	Vitreous floaters
Myodeopsia	Vitreous floaters
Myodesopsia	Vitreous floaters
Spots in front of eyes	Vitreous floaters
Vitreous condensations	Vitreous floaters
Vitreous debris	Vitreous floaters
Vitreous opacities	Vitreous floaters
Vitreous veils	Vitreous floaters
Small intestine tumor	Neoplasm of the small intestine
Large intestine tumor	Neoplasm of the large intestine
Vermiculata atrophoderma	Atrophodermia vermiculata
