HPO name	Synonyms
Elongated chordae tendinae of the mitral valve	
Abnormal morphology of the chordae tendinae of the mitral valve	
Palmoplantar scaling skin	Palmoplantar psoriasis
Scaling skin on fingertip	
Psoriasiform lesion	Erythemato-squamous plaque, Erythematosquamous plaque, Psoriatic-like lesion
Serpiginous cutaneous lesion	Serpiginous eruption
Annular cutaneous lesion	
Hyperpigmented nodule	
Xanthomas of the palmar creases	Xanthoma palmare striatum, Xanthoma striatum palmare
Harlequin phenomenon	
Positive pathergy test	
Peau d'orange	
Ocular melanocytosis	Melanosis oculi, Ocular melanosis
Shawl sign	
V-sign	
Plantar edema	
Palmar edema	
Abnormal B cell subset distribution	
Abnormal T cell subset distribution	
obsolete Decreased activity of complement receptor	
Abnormal mean corpuscular hemoglobin concentration	Abnormal MCH, Abnormal mean corpuscular haemoglobin
Decreased mean corpuscular hemoglobin concentration	Decreased MCH, Decreased mean corpuscular haemoglobin
Increased mean corpuscular hemoglobin concentration	Increased MCH, Increased mean corpuscular haemoglobin
Eccentric visual fixation	Eccentric fixation
Elevated circulating ribitol concentration	Increased level of ribitol in serum
Optic nerve misrouting	Optic pathway misrouting, Visual pathway misrouting
Periorbital purpura	
Periorbital ecchymosis with tarsal plate sparing	Raccoon eyes
Yellow nodule	
Periungual teleangiectasia	
Lamellar cataract with riders	
Coronary cataract	
Anterior chamber cells	
Anterior chamber cells grade 1+	
Anterior chamber cells grade 0.5+	
Anterior chamber cells grade 0	
Anterior chamber cells grade 2+	
Anterior chamber cells grade 3+	
Anterior chamber cells grade 4+	
Central serous chorioretinopathy	
Abnormal morphology of the choroidal vasculature	
Polypoidal choroidal vasculopathy	
Choroidal vascular hyperpermeability	Choroidal hyperpermeability
Christmas tree cataract	
Punctal stenosis	Lacrimal punctum stenosis, Stenosis of the lacrimal punctum
Mild myopia	
Macular hemorrhage	Bleeding occurring within the macula lutea of the retina., Macular haemorrhage
Abnormal superior vena cava morphology	
Abnormal inferior vena cava morphology	
Aortic valve prolapse	
Abnormal left atrium morphology	
Abnormal right atrium morphology	
Foveal hemorrhage	Foveal haemorrhage
Submacular hemorrhage	Sub-macular hemorrhage, Submacular haemorrhage
Tapetal-like fundal reflex	
Hypotropia	
Hyperphoria	
Hypertropia	
Hyperdeviation	
Hypodeviation	
Cyclodeviation	
Abnormal extraocular muscle physiology	
Abnormal superior oblique muscle physiology	
Superior oblique muscle weakness	Superior oblique palsy
Superior oblique muscle restriction	
Superior oblique muscle overaction	
Superior oblique muscle underaction	Under-depression in adduction
Abnormal inferior oblique muscle physiology	
Inferior oblique muscle restriction	
Inferior oblique muscle weakness	Inferior oblique palsy
Inferior oblique muscle overaction	
Abnormal inferior rectus muscle physiology	
Inferior rectus muscle weakness	
Inferior rectus muscle restriction	
Abnormal superior rectus muscle physiology	
Orbital schwannoma	
Lid lag on downgaze	Eyelid lag, Lid lag, von Graefe sign
Abnormal medial rectus muscle physiology	
Upper eyelid entropion	
Cicatricial ectropion	
Anterior blepharitis	
Posterior blepharitis	Meibomian gland disease, Meibomian gland dysfunction
Epicanthus superciliaris	
Corneal astigmatism	
Focal emotional seizure	
EMG: repetitive nerve stimulation abnormality	
Lagopthalmos	Eyelids stay open, Inability to close the eyelids
Nocturnal lagophthalmos	Eyelids stay open at night, Inability to close the eyelids at night
Paralytic lagophthalmos	
Cicatricial lagophthalmos	Eyelids stay open due to scarring, Inability to close the eyelids due to scarring
Capillary leak	Increased capillary permeability, Systemic capillary leak syndrome
Single fiber EMG abnormality	
EMG: positive sharp waves	
Cervical agenesis	Absent cervix, Aplasia of the cervix, Cervical aplasia
Cervical insufficiency	Incompetent cervix
Hydrometrocolpos	
Imperforate hymen	
Abnormal female reproductive system physiology	Abnormal female genital system physiology, Abnormal female reproductive system physiology
obsolete Endometriosis	
Female sexual dysfunction	
Female anorgasmia	Female orgasmic disorder
Dyspareunia	
Vaginismus	
Decreased female libido	Decreased female sex drive
Increased female libido	Increased female sex drive
Auricular tag	
Question mark ear	Constricted ear, Cosman ear, Question mark ear, Question mark ears
Quelprud nodule	
Pretragal ectopia	Accessory Tragus, Extra cartilage in front of the ear, Pretragal Duplication
Auricular pit	
Squared superior portion of helix	
Abnormality of the nasal cartilage	Abnormality of cartilage of nose, Abnormality of the nasal cartilage, Anomaly of cartilage of nose, Anomaly of nasal cartilage, Deformity of cartilage of nose, Deformity of nasal cartilage, Malformation of cartilage of nose, Malformation of nasal cartilage
Absent nasal cartilage	Absent cartilage of nose, Absent nasal cartilage, Agenesis of cartilage of nose, Agenesis of nasal cartilage, Failure of development of cartilage of nose, Failure of development of nasal cartilage, Missing cartilage of nose, Missing nasal cartilage
Splayed fingers	Splayed fingers, Spreading of the fingers
Absent ray	
Small toe	Small toe
Partial absence of foot	Partial absence of foot
Small finger	Small finger
Diffuse glomerular basement membrane lamellation	Diffuse lamellation of the glomerular basement membrane
Struvite nephrolithiasis	Struvite kidney stones
Isothenuria	
Bifid ureter	
Enchondroma	
Fused thoracic vertebrae	
Fused lumbar vertebrae	
Schmorl's node	Schmorl's nodes
Incomplete ossification of pubis	Incomplete maturation of the public bone
Hip subluxation	Partial hip dislocation, Subluxation involving the hip joint
Flexion contracture of digit	
Serpentine fibula	S-shaped calf bone
Hypoglycosylation of alpha-dystroglycan	
Abnormality of lateral ventricle	
Colpocephaly	
Brain abscess	Brain abscess
Narcolepsy	
Tip-toe gait	Walking on tiptoes
Inguinal freckling	Freckles in groin region
Stiff skin	Indurated skin, Stiff skin
Perifollicular fibrosis	
Hyperconvex toenail	
Uncombable hair	Uncombable hair
Autoimmune antibody positivity	
Sickled erythrocytes	
Mitochondrial depletion	
Nervous tissue neoplasm	
Neuroectodermal neoplasm	
Craniopharyngioma	
Neuroepithelial neoplasm	
Neurocytoma	
Primitive neuroectodermal tumor	
Ependymoblastoma	
Peripheral primitive neuroectodermal neoplasm	
Olfactory esthesioneuroblastoma	
Primary central nervous system lymphoma	Primary CNS lymphoma
Central primitive neuroectodermal tumor	
Medulloepithelioma	
Paranasal sinus neoplasm	Neoplasm of the paranasal sinuses, Tumor of the paranasal sinuses
obsolete Pharyngeal neoplasm	
Chemodectoma	Chemodectomas
Ductal carcinoma in situ	
Lobular carcinoma in situ	
Bronchial neoplasm	
Lung adenocarcinoma	
Cervix cancer	
Burkitt lymphoma	
Punctate periventricular T2 hyperintense foci	
Abnormal drinking behavior	Abnormal drinking behavior
Salt craving	Salt craving
Clinodactyly	Curvature of digit, Permanent curving of the finger
Abnormal CSF lactate level	
Reduced CSF lactate	Hypolactatorachia
Abnormal serum testosterone level	Abnormal testosterone level
Increased serum testosterone level	High serum testosterone level, High serum testosterone levels, Increased serum testosterone levels, Increased testosterone
Abnormal muscle fiber protein expression	
Abnormal muscle fiber merosin expression	
Absent muscle fiber merosin	Absent merosin staining in muscle biopsy, Absent muscle fiber laminin alpha 2
Reduced muscle fiber merosin	
Abnormal muscle fiber laminin beta 1	
Reduced muscle fiber laminin beta 1	
Reduced muscle collagen VI	Reduced collagen 6 in muscle
Abnormal muscle fiber dystrophin expression	
Absent muscle dystrophin expression	
Reduced muscle dystrophin expression	Reduced dystrophin staining in muscle
Reduced muscle fiber alpha dystroglycan	
Abnormal muscle fiber alpha sarcoglycan	
Absent muscle fiber alpha sarcoglycan	
Reduced muscle fiber alpha sarcoglycan	
Abnormal muscle fiber beta sarcoglycan	
Abnormal muscle fiber gamma sarcoglycan	
Abnormal muscle fiber delta sarcoglycan	
Absent muscle fiber beta sarcoglycan	
Reduced muscle fiber beta sarcoglycan	
Reduced muscle fiber gamma sarcoglycan	
Absent muscle fiber gamma sarcoglycan	
Absent muscle fiber delta sarcoglycan	
Reduced muscle fiber delta sarcoglycan	
Abnormal muscle fiber alpha dystroglycan	
Abnormal muscle fiber dysferlin	
Absent muscle fiber dysferlin	
Reduced muscle fiber dysferlin	
Abnormal muscle fiber emerin	
Absent muscle fiber emerin	
Reduced muscle fiber emerin	
Abnormal muscle fiber calpain-3	
Absent muscle fiber calpain-3	
Reduced muscle fiber calpain-3	
Reduced muscle fiber perlecan	
Abnormal muscle fiber lamin A/C	
Reduced muscle fiber lamin A/C	
Sacralization of the fifth lumbar vertebra	L5 sacralization
Abnormality of the endometrium	
Endometriosis	
Impaired ristocetin cofactor assay activity	
Impaired von Willibrand factor collagen binding activity	
Abnormal von Willebrand factor multimer distribution	
Absence of large von Willibrand factor multimers	
Abnormal presence of ultra-large von Willebrand factor multimers	
Total absence von Willebrand factor multimers	
Absence of intermediate von Willibrand factor multimers	
Enhanced ristocetin cofactor assay activity	
Prolonged bleeding following circumcision	Prolonged bleeding following circumcision
Excessive bleeding from superficial cuts	Excessive bleeding from superficial cuts
Excessive bleeding after a venipuncture	
Oral cavity bleeding	Bleeding from mouth, Oral cavity bleeding, Oral cavity hemorrhage
Abnormality of the posterior hairline	Abnormality of hairline at back of head
Abnormal bowel sounds	Abnormal bowel sounds
Hyperactive bowel sounds	Increased bowel sounds
Hypoactive bowel sounds	Decreased bowel sounds
Lack of bowel sounds	Lack of bowel sounds
Abnormal liver parenchyma morphology	
Truncal titubation	
Heart murmur	Cardiac murmur, Cardiac murmurs, Heart murmur, Heart murmurs
Cardiogenic shock	Cardiovascular shock
Plasmacytosis	
Cholangitis	Bile duct inflammation
obsolete Biliary tract neoplasm	
Cholangiocarcinoma	Bile duct cancer
Gallbladder perforation	Gall bladder perforation
Scrotal pain	Scrotal pain
Bence Jones Proteinuria	
Flank pain	Flank pain, Kidney pain
Cervical ectropion	Cervical ectopy, Cervical erosion
Cervical polyp	Cervical tumor
Cervicitis	Uterine cervicitis, Uterine cervix inflammation
Vaginal pruritus	
Glomerulomegaly	
Abnormal vascular physiology	
Jaw claudication	Jaw pain while chewing
Temporal artery tortuosity	
Night sweats	Night sweats, Nocturnal hyperhidrosis
Antimitochondrial antibody positivity	Serum antimitochrondrial antibodies
Dilated superficial abdominal veins	Dilatation of the superficial abdominal veins
Gastric varix	Gastric varices
Cystic artery pseudoaneurysm	
Perirenal hematoma	
Peripheral amyelination	
Peripheral hypermyelination	Increased peripheral myelination
Increased peripheral myelin thickness	
Myelin tomacula	Tomacula
Asymmetric peripheral demyelination	
Abnormality of peripheral nervous system electrophysiology	Abnormal nerve conduction study
Abnormality of central nervous system electrophysiology	
Abnormal peripheral action potential amplitude	
Oppenheim reflex	Oppenheim sign
Gordon reflex	Gordon sign
Tetraplegia/tetraparesis	
Impaired visually enhanced vestibulo-ocular reflex	Visually enhanced vestibulo-ocular reflex impairment, VVOR impairment
Isometric tremor	Dystonia tremor
Kinetic tremor	Essential tremor
Titubation	
Tremor by anatomical site	Tremor of a body part
Oral motor hypotonia	
Abnormal peripheral nervous system synaptic transmission	Abnormal PNS synaptic transmission
Fatigable weakness of bulbar muscles	
Fatigable weakness of chewing muscles	
Fatigable weakness of speech muscles	
Fatigable weakness of swallowing muscles	
Fatigable weakness of respiratory muscles	
Fatigable weakness of skeletal muscles	
Fatigable weakness of distal limb muscles	
Fatigable weakness of neck muscles	
Fatiguable weakness of proximal limb muscles	
Response to drugs acting on neuromuscular transmission	
Favorable response of weakness to acetylcholine esterase inhibitors	
Unfavorable response of muscle weakness to acetylcholine esterase inhibitors	
Increased jitter at single fibre EMG	Increased jitter at single fibre electromyography
EMG: incremental response of compound muscle action potential to repetitive nerve stimulation	
Paradoxical respiration	Flail chest, Paradoxical breathing
Acetylcholine receptor antibody positivity	
Calcium channel antibody positivity	
Muscle specific kinase antibody positivity	Anti-MUSK antibodies
Slow pupillary light response	
Collectionism	Compulsive hoarding
Emotional blunting	
Hypersexuality	Sex addiction
Inappropriate crying	Inappropriate crying
Inertia	
Limb apraxia	
Punding	
Semantic dementia	Trouble remembering words
Socially inappropriate behavior	Socially inappropriate behavior
Sweet craving	Sweet craving
Visual agnosia	
Perseveration	Perseverative behavior, Perseverative behaviour
Abnormal muscle fiber desmin	
Accumulation of muscle fiber desmin	Muscle fiber desmin-reactive inclusion bodies
Abnormal muscle fiber myotilin	
Accumulation of muscle fiber myotilin	
Abnormal muscle fiber valosin-containing protein	
Accumulation of muscle fiber valosin-containing protein	
Central core regions in muscle fibers	
Glycogen accumulation in muscle fiber lysosomes	
Increased sarcoplasmic glycogen	
Bethlem sign	Bethlem phenomenon
Highly elevated creatine kinase	Highly elevated creatine phosphokinase
Extremely elevated creatine kinase	Extremely elevated creatine phosphokinase
Abnormality of muscle size	Abnormality of muscle size
Hand muscle weakness	Hand muscle weakness
Hypoplasia of the upper arm musculature	Underdeveloped upper arm muscles
Hypoplasia of deltoid muscle	Deltoid muscle hypoplasia
Portal vein thrombosis	Blood clot in portal vein
Hepatic vein thrombosis	Blood clot in liver vein
Maternal fever in pregnancy	Maternal fever during pregnancy
Intrapartum fever	Maternal fever during labor
Maternal first trimester fever	
Splanchnic vein thrombosis	Blood clot in splanchnic vein
Mesenteric venous thrombosis	Blood clot in mesentertic vein
Enanthema	
Pulmonary granulomatosis	
Absence of memory B cells	
Absence of mature B cells	
Defective T cell proliferation	
Nail bed hemorrhage	
Large intestinal polyposis	
Small intestinal polyposis	
Freckled genitalia	Freckled genitalia, Genitalia, ephelides
Hyperpigmented genitalia	Increased genital pigmentation, Penile melanosis
Hypopigmented genitalia	Decreased genital pigmentation
Microphallus	
Absent penis	Absent penis, Aphallia, Aplasia of the penis, Penis aplasia
Narrow penis	Narrow penis
Torsion of the penis	
Webbed penis	Webbed penis
Wide penis	Wide penis
Abnormality of the sacroiliac notch	
Calcification of the interosseus membrane of the forearm	
Hyperplastic callus formation	
Increased serum insulin-like growth factor 1	Elevated serum IGF1, Increased serum IGF1, Increased serum insulin-like growth factor 1
Elevated red cell adenosine deaminase activity	
Reduced erythrocyte 2,3-diphosphoglycerate concentration	
Abnormal erythrocyte enzyme activity	
Reduced red cell adenosine deaminase activity	
Accessory scrotum	Extra scrotum
Ectopic scrotum	Abnormal scrotum position
Small scrotum	Small scrotum, Underdeveloped scrotum
Abnormal vertebral pedicle morphology	
Hypoplastic vertebral pedicle	
Hypoplastic L5 vertebral pedicle	
Rib gap	Rib gap
Cervical C3/C4 vertebral fusion	
Posterior rib gap	Dorsal rib defect
Partial absence of the septum pellucidum	
Triangular tongue	Triangle shaped tongue, Triangular tongue
Splayed superior cerebellar peduncle	
Atrophic superior cerebellar peduncle	
Flattened femoral epiphysis	Flattended end part of thigh bone
Unossified sacrum	Absence of sacrum ossification
Lower-limb metaphyseal irregularity	
Tibial metaphyseal irregularity	
Fibular metaphyseal irregularity	Irregularity of wide portion of calf bone
Metaphyseal chondromatosis of tibia	
Metaphyseal chondromatosis of femur	
Metaphyseal chondromatosis of radius	
Metaphyseal chondromatosis of ulna	
Metaphyseal chondromatosis of humerus	
Distal femoral metaphyseal abnormality	Abnormality of wide portion of outermost thighbone
10 pairs of ribs	10 pairs of ribs
Abnormality of the anterior commissure	
Agenesis of the anterior commissure	
Hypoplastic anterior commissure	
Abnormal number of vertebrae	
Decreased number of vertebrae	
11 thoracic vertebrae	
Flared lower limb metaphysis	Flared metaphysis of lower limb bone
Flared distal tibial metaphysis	Flared outermost metaphysis of shankbone, Flared outermost metaphysis of shinbone
Flared distal fibular metaphysis	Flared outermost wide portion of of calf bone
Upper extremity joint dislocation	Dislocated arm joints
Lower extremity joint dislocation	Dislocated leg joints
Obliteration of the calvarial diploe	Obliteration of cranial cancellous bone
Abnormal periosteum morphology	
Periostosis	
Angular cheilitis	Angular cheilosis, Angular stomatitis, Commissural cheilitis, Inflammation of corners of the mouth, Inflammation of oral commisures, Red and sore corners of the mouth
Weakness of facial musculature	Decreased facial muscle strength, Decreased strength of facial muscles, Face weakness, Facial muscle weakness, Facial weakness, Myasthenia of facial muscles, Reduced facial muscle strength, Weakness of face, Weakness of facial musculature
Increased intervertebral space	
Abnormal vertebral artery morphology	Abnormality of the vertebral artery
Vertebral artery hypoplasia	
Unilateral vertebral artery hypoplasia	
Bilateral vertebral artery hypoplasia	
Cervicomedullary schisis	
Abnormal macrophage count	
Abnormal osteoclast count	
Decreased osteoclast count	
Retinal thinning	Retinal thinning
Multinucleated giant chondrocytes in epiphyseal cartilage	
Impaired stimulus-induced skin wrinkling	
obsolete Abnormal T cell morphology	
Abnormal alpha-beta T cell morphology	
Abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell morphology	
Abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell count	
Absence of CD4-positive, CD25-positive regulatory T cells	Absence of CD4+CD25+ T regulatory cells, Absence of CD4+CD25+ Tregs
Elevated CD4-positive, CD25-positive regulatory T cell count	
Abnormal circulating gonadotropin level	
Decreased circulating gonadotropin level	
obsolete Increased circulating gonadotropin level	
Decreased circulating follicle stimulating hormone level	
Decreased circulating luteinizing hormone level	Decreased circulating luteinising hormone level
Abnormal circulating luteinizing hormone level	Abnormal luteinizing hormone level, Increased circulating lutropin
Abnormal circulating follicle-stimulating hormone level	
Abnormal circulating androgen level	
Increased circulating androgen level	
Decreased circulating androgen level	
Erythematous papule	Red-blue papule
Urticarial plaque	
Abnormal serum insulin-like growth factor 1 level	
Decreased serum insulin-like growth factor 1	
Abnormal serum interferon level	
Abnormal serum interferon-gamma level	
Increased serum interferon-gamma level	
Small cell lung carcinoma	Oat cell carcinoma of lung, Oat cell lung cancer, Small cell lung cancer
Non-small cell lung carcinoma	Non-small cell lung cancer
Squamous cell lung carcinoma	
Large cell lung carcinoma	
Abnormal circulating eicosanoid concentration	Abnormality of icosanoid metabolism
Reduced muscle carnitine level	
Primary Caesarian section	
Secondary Caesarian section	
Vaginal birth after Caesarian	
Delivery by Odon device	
Finger hyperphalangy	
Hyperphalangy of the 2nd finger	Hyperphalangy of index finger
Induced vaginal delivery	
Abnormal proportion of naive B cells	
Increased proportion of naive B cells	
Decreased proportion of naive B cells	
Abnormal proportion of memory B cells	
Decreased proportion of memory B cells	
Increased proportion of memory B cells	
Abnormal proportion of immature B cells	Abnormal proportion of CD19+/CD21low B cells
Increased proportion of immature B cells	Increased proportion of CD19+/CD21low B cells
Decreased proportion of immature B cells	Decreased proportion of CD19+/CD21low B cells
Abnormal proportion of transitional B cells	Abnormal proportion of CD19+CD38+IgM+ cells
Decreased proportion of transitional B cells	Decreased proportion of CD19+CD38+IgM+ cells
Increased proportion of transitional B cells	Increased proportion of CD19+CD38+IgM+ cells
Abnormal proportion of marginal zone B cells	
Decreased proportion of marginal zone B cells	
Increased proportion of marginal zone B cells	
Abnormal proportion of class-switched memory B cells	Abnormal proportion of CD19+CD27+IgD- cells
Increased proportion of class-switched memory B cells	Increased proportion of CD19+CD27+IgD- cells
Decreased proportion of class-switched memory B cells	Decreased proportion of CD19+CD27+IgD- cells
Abnormal circulating thromboxane concentration	
Reduced circulating leukotriene C4 concentration	
Spoken Word Recognition Deficit	
Choroid plexus carcinoma	
Endolymphatic sac tumor	Aggressive papillary middle ear tumor, Heffner tumor, Low-grade adenocarcinoma of endolymphatic sac origin
Fallopian tube carcinoma	
Abnormal platelet granule secretion	
Abnormal platelet dense granule secretion	
Abnormal platelet ATP dense granule secretion	
Abnormal platelet alpha granule secretion	
Abnormal platelet lysosome secretion	
Abnormal platelet dense granule ATP/ADP ratio	
Abnormal platelet aggregation	
Spontaneous platelet aggregation	
Glucagonoma	
Pancreatic endocrine tumor	
Primary peritoneal carcinoma	
Pineocytoma	
Pineoblastoma	Pinealoblastoma
Renal transitional cell carcinoma	renal TCC, Renal urothelial carcinoma, Transitional renal cell carcinoma
Sebaceous gland carcinoma	Sebaceous carcinoma
Jejunal adenocarcinoma	
Ileal adenocarcinoma	
Squamous cell carcinoma of the tongue	
Verrucous cell carcinoma of the tongue	
Sarcomatoid carcinoma of the tongue	Spindle cell carcinoma of the tongue
Vulvar neoplasm	Neoplasm of the vulva, Tumor of the vulva
Squamous cell carcinoma of the vulva	Vulval squamous cell carcinoma
Vulvar melanoma	
Bartholin gland carcinoma	
Vulvar adenocarcinoma	
Epididymal neoplasm	
obsolete Papillary cystadenoma of the epididymis	
Splenic cyst	Cyst on spleen
Epididymal cyst	Epididymal cysts
Calcified ovarian cyst	
Ossifying fibroma	
Ossifying fibroma of the jaw	
Cutaneous myxoma	
Juvenile nasopharyngeal angiofibroma	
Neuroma	Nerve tumor, Pinched nerve
Osteochondroma	Osteocartilaginous exostoses, Osteochondromas
Chondroblastoma	
Osteoid osteoma	
Pilomatrixoma	
Fibrofolliculoma	Fibrofolliculomas
Anal canal neoplasm	Anal canal tumor
Anal canal squamous cell carcinoma	
Anal canal adenocarcinoma	
Anal margin neoplasm	
Anal margin Paget's disease	
Anal margin squamous cell carcinoma	
Anal margin basal cell carcinoma	
Anal margin melanoma	
Pulmonary carcinoid tumor	Lung carcinoid tumor
Atypical pulmonary carcinoid tumor	
Merkel cell skin cancer	Anaplastic carcinoma of the skin, Cutaneous APUDoma, Merkel cell cancer of the skin, Neuroendocrine carcinoma of the skin, Neuroendocrine tumor of the skin, Primary small cell carcinoma of the skin, Primary undifferentiated carcinoma of the skin
Soft tissue sarcoma	Soft tissue sarcomas
Therapeutic abortion	
Neuroplasm of the autonomic nervous system	
Mesenteric cyst	
Chylolymphatic mesenteric cyst	
Abnormal visual electrophysiology	
Abnormal electrooculogram	Abnormal EOG
Abnormality of pattern visual evoked potentials	
Abnormality of pattern onset/offset visual evoked potentials	Abnormality of pattern onset/offset VEP
Abnormal amplitude of pattern onset/offset visual evoked potentials	Abnormal amplitude of pattern onset/offset VEP
Abnormal timing of pattern onset/offset visual evoked potentials	
Abnormal timing of pattern reversal visual evoked potentials	
Abnormal timing of flash visual evoked potentials	
Abnormal amplitude of flash visual evoked potentials	
Asymmetrical distribution of flash visual evoked potentials	Crossed asymmetry of flash visual evoked potentials
Asymmetrical distribution of pattern reversal visual evoked potentials	Crossed asymmetry of pattern reversal visual evoked potentials
Undetectable light-adapted electroretinogram	Absent photopic (cone) responses on ERG, non-detectable photopic ERG
Abnormal full-field electroretinogram	
Abnormal pattern electroretinogram	
Abnormal multifocal electroretinogram	
Abnormal dark-adapted electroretinogram	
Abnormal dark-adapted bright flash electroretinogram	
Abnormal dark-adapted dim flash electroretinogram	
Abnormal light-adapted single flash electroretinogram	
Abnormal light-adapted flicker electroretinogram	Abnormal light-adapted 30Hz flicker electroretinogram, Abnormal light-adapted 30Hz flicker ERG, Abnormal light-adapted flicker electroretinogram, Abnormal light-adapted flicker ERG
Undetectable dark-adapted electroretinogram	
Abnormal timing of dark-adapted dim flash electroretinogram	
Abnormal amplitude of dark-adapted dim flash electroretinogram	
Abnormal timing of dark-adapted bright flash electroretinogram	
Abnormal amplitude of dark-adapted bright flash electroretinogram	
Abnormal amplitude of light-adapted flicker electroretinogram	
Abnormal timing of light-adapted flicker electroretinogram	
Abnormal amplitude of light-adapted single flash electroretinogram	
Abnormal timing of light-adapted single flash electroretinogram	
Reduced amplitude of dark-adapted bright flash electroretinogram a-wave	
Supernormal dark-adapted bright flash electroretinogram b-wave	
Abnormal amplitude of pattern electroretinogram	
Abnormal timing of pattern electroretinogram	
Abnormal P50/N95 ratio of pattern electroretinogram	
Abnormal central response of multifocal electroretinogram	
Abnormal paracentral response of multifocal electroretinogram	
Exudative vitreoretinopathy	
Choriocapillaris atrophy	
Abnormality of foveal pigmentation	
Macular microaneurysm/hemorrhage	
Abnormality of macular vasculature	
Macular exudate	Macular exudates, Macular exudation
Macular cotton wool spot	
Macular thickening	
Macular drusen	Lipid accumulation in macula
Yellow/white lesions of the macula	
Macular crystals	
Retinoschisis	
Macular telangiectasia	Juxtafoveal telangiectasia, Parafoveal telangiectasia
Grouped congenital hypertrophy of retinal pigment epithelium	Bear track congenital hypertrophy of retinal pigment epithelium
Nummular pigmentation of the fundus	Nummular pigmentation of the retina
Yellow/white lesions of the retina	
Retinal crystals	
Retinal cavernous hemangioma	Retinal cavernous haemangioma
Retinal racemose hemangioma	Retinal racemose haemangioma
Combined hamartoma of the retinal pigment epithelium and retina	
Bradyopsia	Difficulty seeing moving objects
Difficulty adjusting to changes in luminance	
Difficulty adjusting from light to dark	
Difficulty adjusting from dark to light	
Moderately reduced visual acuity	Moderate reduction in visual acuity, Moderate vision loss, Moderate visual impairment, Moderate visual loss
Homonymous hemianopia	Homonymous hemianopsia
Heteronymous hemianopia	Heteronymous hemianopsia
Congruous homonymous hemianopia	Congruous hemianopsia
Congruous heteronymous hemianopia	
Binasal hemianopia	
Bitemporal hemianopia	
Mild constriction of peripheral visual field	Mild peripheral visual field loss
obsolete Peripheral visual field constriction with 40-50 degrees central field preserved	
obsolete Peripheral visual field constriction with 30-39 degrees central field preserved	
Moderate constriction of peripheral visual field	Moderate peripheral visual field loss
Severe constriction of peripheral visual field	Severe peripheral visual field loss
Very severe constriction of peripheral visual field	Very severe peripheral visual field loss
Paracentral scotoma	
Ring scotoma	
Arcuate scotoma	Arc-shaped blind spot
Altitudinal visual field defect	
Visual acuity test abnormality	
Abnormal unaided visual acuity test	
Abnormal best corrected visual acuity test	
Abnormal pinhole visual acuity test	
Unaided visual acuity 0.1 LogMAR	
Unaided visual acuity 0.2 LogMAR	
Unaided visual acuity 0.3 LogMAR	
Unaided visual acuity 0.4 LogMAR	
Unaided visual acuity 0.5 LogMAR	
Unaided visual acuity 0.6 LogMAR	
Unaided visual acuity 0.7 LogMAR	
Unaided visual acuity 0.8 LogMAR	
Unaided visual acuity 0.9 LogMAR	
Unaided visual acuity 1.0 LogMAR	
Unaided visual acuity 1.1 LogMAR	
Unaided visual acuity 1.2 LogMAR	
Unaided visual acuity 1.3 LogMAR	
Unaided visual acuity 2.0 LogMAR	
Unaided visual acuity 3.0 LogMAR	
Visual acuity light perception with projection	
Visual acuity light perception without projection	
Visual acuity no light perception	
Best corrected visual acuity 0.1 LogMAR	
Best corrected visual acuity 0.2 LogMAR	
Best corrected visual acuity 0.3 LogMAR	
Best corrected visual acuity 0.4 LogMAR	
Best corrected visual acuity 0.5 LogMAR	
Best corrected visual acuity 0.7 LogMAR	
Best corrected visual acuity 0.6 LogMAR	
Best corrected visual acuity 0.8 LogMAR	
Best corrected visual acuity 0.9 LogMAR	
Best corrected visual acuity 1.0 LogMAR	
Best corrected visual acuity 1.1 LogMAR	
Best corrected visual acuity 1.2 LogMAR	
Best corrected visual acuity 1.3 LogMAR	
Best corrected visual acuity 2.0 LogMAR	
Best corrected visual acuity 3.0 LogMAR	
Pinhole visual acuity 0.1 LogMAR	
Pinhole visual acuity 0.2 LogMAR	
Pinhole visual acuity 0.3 LogMAR	
Pinhole visual acuity 0.4 LogMAR	
Pinhole visual acuity 0.5 LogMAR	
Pinhole visual acuity 0.6 LogMAR	
Pinhole visual acuity 0.7 LogMAR	
Pinhole visual acuity 0.8 LogMAR	
Pinhole visual acuity 0.9 LogMAR	
Pinhole visual acuity 1.0 LogMAR	
Pinhole visual acuity 1.1 LogMAR	
Pinhole visual acuity 1.2 LogMAR	
Pinhole visual acuity 1.3 LogMAR	
Pinhole visual acuity 2.0 LogMAR	
Pinhole visual acuity 3.0 LogMAR	
Color vision test abnormality	
Red desaturation	
Abnormal Ishihara plate test	
Abnormal Hardy-Rand-Rittler plate test	
Abnormal visual field test	
Abnormal confrontational visual field test	
Abnormal Amsler grid test	
Abnormal kinetic perimetry test	
Abnormal static perimetry test	
Abnormal manual kinetic perimetry test	
Abnormal automated kinetic perimetry test	
Abnormal static automated perimetry test	
Abnormal Humphrey SITA 30-2 perimetry test	
Abnormal Humphrey SITA 24-2 perimetry test	
Abnormal Humphrey SITA 10-2 perimetry test	
Abnormal Estermann grid perimetry test	
Abnormal posterior segment imaging	
Abnormal fundus autofluorescence imaging	
Abnormal optical coherence tomography	
Abnormal fundus fluorescein angiography	
Abnormal indocyanine green angiography	
Abnormal OCT-measured macular thickness	
